TRADEDATE,0.25,0.5,0.75,1,2,3,5,7,10,15,20,30
2014-04-01,6.5377,6.8238,7.0826,7.3194,7.9718,8.2244,8.5016,8.7069,8.9211,9.052,9.086,9.1004
2014-04-02,6.1826,6.6167,6.98,7.28,7.9939,8.246,8.5512,8.8042,9.0484,9.1634,9.1584,9.1173
2014-04-03,6.1789,6.69,7.0875,7.3894,8.0193,8.2468,8.5415,8.7853,9.0087,9.1164,9.1151,9.0796
2014-04-04,5.9109,6.5152,6.9749,7.3143,7.9825,8.1933,8.4607,8.6872,8.8906,8.9868,8.9839,8.9501
2014-04-07,6.1438,6.6923,7.1088,7.4159,8.0132,8.2109,8.5196,8.8111,9.0836,9.1885,9.1659,9.1128
2014-04-08,6.0916,6.6759,7.0972,7.3935,7.9278,8.1215,8.4504,8.7334,8.9594,9.0456,9.0291,8.9872
2014-04-09,6.4161,6.8745,7.2019,7.438,7.8996,8.1225,8.4495,8.7114,8.9497,9.0676,9.0716,9.0425
2014-04-10,6.5906,6.9167,7.1689,7.3578,7.7733,8.0293,8.4338,8.727,8.9665,9.0986,9.1257,9.132
2014-04-11,6.6266,6.925,7.1716,7.367,7.8352,8.0915,8.4764,8.7625,9.0175,9.1617,9.1939,9.2068
2014-04-14,6.5337,6.9247,7.2437,7.4893,8.0199,8.239,8.5659,8.8487,9.1262,9.2672,9.2795,9.2636
2014-04-15,6.391,6.8782,7.2635,7.5501,8.1372,8.3766,8.7042,8.995,9.2974,9.4157,9.3947,9.3493
2014-04-16,6.6144,6.967,7.2526,7.4786,8.0186,8.3095,8.7153,9.0145,9.2848,9.407,9.4173,9.4221
2014-04-17,6.6763,6.9465,7.1939,7.4189,8.0505,8.3321,8.6952,8.9615,9.2154,9.3759,9.4291,9.4731
2014-04-18,6.5798,6.8863,7.1557,7.3813,7.9528,8.216,8.5896,8.8561,9.0748,9.2096,9.2619,9.3193
2014-04-21,6.7181,6.9678,7.1906,7.388,7.9524,8.2608,8.6301,8.8796,9.1328,9.2742,9.3207,9.3825
2014-04-22,6.6012,6.8909,7.1504,7.3803,8.0113,8.3049,8.6742,8.9424,9.2004,9.3404,9.3707,9.3924
2014-04-23,6.8631,7.0633,7.2515,7.4337,8.0266,8.3819,8.7755,9.0046,9.2322,9.3885,9.4482,9.5019
